Senator|Estimated Holdings|Symbol|Company|Sector|Industry|
John Hoeven (R-ND)|$183,200|FBNRX|Templeton Global Bond Fund|||
Dianne Feinstein (D-CA)|$183,100|CHTR|Charter Communications, Inc.|Consumer Services|Television Services|
Doug Jones (D-AL)|$182,900|RF|Regions Financial|||
David Perdue (R-GA)|$182,400|AXTA|Axalta Coating Systems Ltd.|||
Tammy Duckworth (D-IL)|$181,800|VDADX|Vanguard Dividend Apprec Index|||
John Hoeven (R-ND)|$180,100|BMEZ|BlackRock Health Sciences Trust II|||
Jeff Merkley (D-OR)|$179,900|FCNKX|Fidelity Contrafund|||
Sheldon Whitehouse (D-RI)|$178,800|HD|Home Depot|||
Angus King (D-ME)|$178,100|UNH|Unitedhealth Group|||
Tom Carper (D-DE)|$177,900|BAC|Bank of America|||
Dan Sullivan (R-AK)|$177,100|VPMAX|Vanguard PRIMECAP Fund|||
David Perdue (R-GA)|$176,000|WLK|Westlake Chemical|||
Tammy Duckworth (D-IL)|$174,700|VUG|Vanguard Growth ETF|||
Tim Kaine (D-VA)|$173,900|FBNRX|Templeton Global Bond Fund|||
David Perdue (R-GA)|$171,800|BOIVF|Bollore|||
David Perdue (R-GA)|$171,500|DISCA|Discovery Communications|||
John Cornyn (R-TX)|$171,400|AGTHX|American Funds Growth Fund of America|||
Ben Cardin (D-MD)|$169,900|IVW|iShares S&P 500 Growth ETF|||
Tom Udall (D-NM)|$168,100|NYVTX|Davis NY Venture A (NASDAQ)|||
Kelly Loeffler (R-GA)|$168,000|ORCL|Oracle Corp|||
Susan Collins (R-ME)|$165,400|GOOGL|Alphabet Inc.|Technology|Computer Software: Programming, Data Processing|
Dianne Feinstein (D-CA)|$165,200|FB|Facebook Inc|||
John Hoeven (R-ND)|$165,000|GOOGL|Alphabet Inc.|Technology|Computer Software: Programming, Data Processing|
Kamala Harris (D-CA)|$163,700|EWU|iShares MSCI United Kingdom ETF|||
John Boozman (R-AR)|$162,100|EFA|Equity Investments MSCI EAFE|||
Gary Peters (D-MI)|$161,300|LOW|Lowe's Companies|||
Tina Smith (D-MN)|$160,500|FIS|Fidelity National Information Services|||
John Hoeven (R-ND)|$160,500|LYB|LyondellBasell Industries N.V.|||
Sheldon Whitehouse (D-RI)|$160,300|MMM|3M Company|Health Care|Medical/Dental Instruments|
Tina Smith (D-MN)|$160,300|OXFD|Oxford Immunotec Global PLC|||
Catherine Cortez Masto (D-NV)|$159,500|OPMYX|OPMYX - Oppenheimer Main Street Mid Cap Y|||
Tammy Duckworth (D-IL)|$159,400|RPEBX|American Funds New Perspective Fund|||
Ben Cardin (D-MD)|$158,100|IEF|iShares 7-10 Year Treasury Bond Fund|||
Tina Smith (D-MN)|$157,600|ABT|Abbott Laboratories|Health Care|Major Pharmaceuticals|
Sheldon Whitehouse (D-RI)|$156,600|WMT|Wal-Mart Stores|||
Ben Sasse (R-NE)|$156,000|VTV|Vanguard Index Funds - Vanguard Value ETF|||
Pat Toomey (R-PA)|$155,800|XLV|Health Care Sel Sect Spdr Fund|||
Tom Udall (D-NM)|$155,500|CWGIX|American Cap World Growth Income Fund|||
Tom Udall (D-NM)|$154,900|AGTHX|American Funds Growth Fund of America|||
Sheldon Whitehouse (D-RI)|$154,600|GS|Goldman Sachs|||
Tammy Duckworth (D-IL)|$154,000|ITW|Illinois Tool Works|||
Michael Bennet (D-CO)|$152,700|VGHCX|Vanguard Health Care Inv Fund|||
Gary Peters (D-MI)|$151,800|SHW|Sherwin-Williams Co|||
Tim Kaine (D-VA)|$151,800|CVX|Chevron Corp|||
Patrick Leahy (D-VT)|$151,000|LMESX|ClearBridge Appreciation Fund|||
John Hoeven (R-ND)|$150,000|DOW|Dow Chemical|||
Susan Collins (R-ME)|$149,600|UNP|Union Pacific Corp|||
Elizabeth Warren (D-MA)|$148,300|TBIIX|TIAA-CREF Bond Index - Institutional|||
Susan Collins (R-ME)|$148,200|APH|Amphenol Corporation|Capital Goods|Electrical Products|
Angus King (D-ME)|$148,100|AAPL|Apple Inc.|Technology|Computer Manufacturing|
Thom Tillis (R-NC)|$147,500|IEMFX|T Rowe Price Institutional Emerging Markets Fund|||
Sheldon Whitehouse (D-RI)|$146,900|GILD|Gilead Sciences|||
David Perdue (R-GA)|$146,800|SYY|Sysco Corp|||
David Perdue (R-GA)|$146,800|PG|Procter & Gamble|||
David Perdue (R-GA)|$146,300|BMY|Bristol-Myers Squibb|||
Tammy Duckworth (D-IL)|$145,800|VEU|Vanguard FTSE All World Ex-US Index|||
Michael Bennet (D-CO)|$145,100|VOO|Vanguard 500 Index|||
Rob Portman (R-OH)|$145,100|VOO|Vanguard 500 Index|||
Chuck Grassley (R-IA)|$144,700|RSEGX|RS Small Cap Growth Mutual Fund|||
Thad Cochran (R-MS)|$144,300|DHR|Danaher Corp|||
Ron Wyden (D-OR)|$144,300|JUEAX|JP Morgan US equity fund|||
David Perdue (R-GA)|$144,000|DD|DowDuPont Inc|||
Gary Peters (D-MI)|$143,700|MSFT|Microsoft Corp|||
Kamala Harris (D-CA)|$143,000|PCY|PowerShares Emerging Markets Sov Dbt ETF|||
Shelley Moore Capito (R-WV)|$143,000|TFC|BB&T Corp|||
Dan Sullivan (R-AK)|$143,000|AGTHX|American Funds Growth Fund of America|||
John Hoeven (R-ND)|$142,400|BUD|Anheuser-Busch Inbev SA|Consumer Non-Durables|Beverages (Production/Distribution)|
John Hoeven (R-ND)|$142,300|FISPX|Federated Max-Cap Index Institutional|||
Jerry Moran (R-KS)|$142,200|AIVSX|Investment Co of America|||
David Perdue (R-GA)|$142,100|MDLZ|Kraft Foods|||
Mitch McConnell (R-KY)|$141,700|DPFFX|DPFFX - Delaware Diversified Income Fund (NASDAQ)|||
David Perdue (R-GA)|$141,200|SBUX|Starbucks Corp|||
Gary Peters (D-MI)|$140,600|FFFEX|Fidelity Freedom 2030 Fund|||
Rob Portman (R-OH)|$140,600|EAASX|Eaton Vance Atlanta Small Mid Cap Fund|||
Sheldon Whitehouse (D-RI)|$140,500|CVS|CVS Health|||
Dick Durbin (D-IL)|$140,500|FSRFX|Fidelity Select Transportation|||
Lisa Murkowski (R-AK)|$140,200|SCHB|Schwab US Broad Market ETF|||
John Hoeven (R-ND)|$139,700|PRPFX|Permanent Portfolio (NASDAQ)|||
Joe Manchin (D-WV)|$139,700|DTMEX|DFA Tax-Managed US Eq|||
John Hoeven (R-ND)|$139,500|MET|MetLife Inc|||
Sheldon Whitehouse (D-RI)|$139,400|HON|Honeywell International|||
Shelley Moore Capito (R-WV)|$139,000|JNJ|Johnson & Johnson|||
Tom Udall (D-NM)|$136,700|USA|Liberty Composite Fund|||
Tammy Duckworth (D-IL)|$136,700|RIBEX|American Funds Investment Co of America|||
David Perdue (R-GA)|$136,000|GPK|Graphic Packaging Holding|||
Kamala Harris (D-CA)|$135,600|BSV|Vanguard Short Term Bond Fund|||
Susan Collins (R-ME)|$134,900|SYK|Concentric Medical Inc|||
Sheldon Whitehouse (D-RI)|$134,900|LMT|Lockheed Martin|||
Sheldon Whitehouse (D-RI)|$134,700|IFF|International Flavors & Fragrances Inc|||
Pat Toomey (R-PA)|$134,400|IJK|iShares S&P Mid Cap 400 Growth ETF|||
Shelley Moore Capito (R-WV)|$132,900|NEE|NextEra Energy|||
Susan Collins (R-ME)|$132,500|WCN|Waste Connections Inc|||
Gary Peters (D-MI)|$132,500|JPM|JPMorgan Chase & Co|||
Sheldon Whitehouse (D-RI)|$132,500|UL|Unilever|||
Ron Wyden (D-OR)|$132,000|BSCFX|Baron Small Cap Retail Fund|||
John Hoeven (R-ND)|$131,200|IVZ|Invesco Aim|||
Tom Cotton (R-AR)|$131,200|NHFIX|MFB Norther High Yield Fixed Income|||
Pat Roberts (R-KS)|$131,100|AMZN|Amazon.com, Inc.|Consumer Services|Catalog/Specialty Distribution|
Tina Smith (D-MN)|$130,500|MMM|3M Company|Health Care|Medical/Dental Instruments|
Rob Portman (R-OH)|$130,500|LLSCX|Longleaf Partners Small Cap Fund|||
Elizabeth Warren (D-MA)|$129,700|TRGMX|TIAA-CREF Mid-Cap Gr-Retirement|||
Ron Wyden (D-OR)|$129,600|DFREX|DFA Real Estate Securities Fund|||
Kamala Harris (D-CA)|$129,400|VSIAX|Vanguard Small Cap Value Index Admiral|||
Pat Toomey (R-PA)|$129,100|AIV|Apartment Investment and Management Company|Consumer Services|Real Estate Investment Trusts|
Mitch McConnell (R-KY)|$128,700|OTCFX|T Rowe Price Small Cap Stock|||
Joe Manchin (D-WV)|$128,000|DFCEX|DFA Emerging Markets Core Equity Fund|||
Catherine Cortez Masto (D-NV)|$128,000|OAKLX|OAKLX - Oakmark Select I|||
John Boozman (R-AR)|$128,000|IGSB|iShares 1-3 Year Credit Bond ETF|||
Sheldon Whitehouse (D-RI)|$127,900|T|AT&T Inc|||
Amy Klobuchar (D-MN)|$126,200|FBALX|Fidelity Balanced Fund|||
John Hoeven (R-ND)|$126,100|F|Ford Motor Co|||
Tom Udall (D-NM)|$125,900|SMCWX|American Funds SMALLCAP World A|||
Mark Warner (D-VA)|$125,700|MINIX|MFS International Value Fund|||
David Perdue (R-GA)|$125,600|BRK-B|Berkshire Hathaway Inc.|||
David Perdue (R-GA)|$125,600|NKE|Nike Inc|||
Joe Manchin (D-WV)|$125,600|VFIAX|Vanguard 500 Index Admiral Fund|||
Sheldon Whitehouse (D-RI)|$125,300|BIIB|Biogen Inc.|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|
Susan Collins (R-ME)|$124,800|AWK|American Water Works|Public Utilities|Water Supply|
Pat Toomey (R-PA)|$124,300|XLU|Utilities Select Sector SPDR ETF|||
Chuck Grassley (R-IA)|$124,200|BDJ|Blackrock Enhanced Equity Divid Trust|||
Susan Collins (R-ME)|$124,000|MTD|Mettler-Toledo International Inc.|||
John Thune (R-SD)|$123,200|JABAX|Janus Balanced Fund|||
Sheldon Whitehouse (D-RI)|$123,100|ORCL|Oracle Corp|||
Richard Burr (R-NC)|$123,000|MET|MetLife Inc|||
Mark Warner (D-VA)|$122,500|EFA|Equity Investments MSCI EAFE|||
Tina Smith (D-MN)|$121,400|TCF|TCF Financial Corp|||
John Hoeven (R-ND)|$121,100|ARCC|Ares Capital Corporation|||
Mark Warner (D-VA)|$120,700|HALO|Halozyme Therapeutics Inc|||
Thad Cochran (R-MS)|$120,500|STE|Steris Corp|||
Sheldon Whitehouse (D-RI)|$120,400|IWO|iShares Russell 2000 Growth Fund|||
Sheldon Whitehouse (D-RI)|$119,800|LOW|Lowe's Companies|||
Richard Burr (R-NC)|$118,800|ABT|Abbott Laboratories|Health Care|Major Pharmaceuticals|
James M Inhofe (R-OK)|$118,100|V|Visa Inc|||
John Hoeven (R-ND)|$117,900|XSLV|Invesco S&amp;P SmallCap Low Volatility ETF|||
Sheldon Whitehouse (D-RI)|$117,600|PBE|PowerShares Dynamic Biotech & Genome ETF|||
Tom Carper (D-DE)|$117,300|PNQI|PowerShares NASDAQ Internet ETF|||
John Hoeven (R-ND)|$117,000|TGT|Target Corp|||
John Hoeven (R-ND)|$116,900|NFLX|Netflix Inc|||
Ron Wyden (D-OR)|$116,400|FREAX|Nuveen Real Estate Securities Fund|||
Bill Cassidy (R-LA)|$116,100|TRRSX|TIAA-CREF Real Estate Sec Retire|||
John Boozman (R-AR)|$115,700|EEM|iShares Emerging Market|||
John Boozman (R-AR)|$115,300|MIDKX|S&P Midcap|||
James M Inhofe (R-OK)|$115,200|BAF|BlackRock Inc|||
Jack Reed (D-RI)|$114,900|TMO|Thermo Fisher Scientific|||
John Boozman (R-AR)|$114,600|CMCSA|Comcast Corporation|Consumer Services|Television Services|
David Perdue (R-GA)|$114,500|MMP|Magellan Midstream Partners|||
Pat Toomey (R-PA)|$114,100|IBB|iShares Nasdaq Biotechnology ETF|||
David Perdue (R-GA)|$113,800|MA|Mastercard Inc|||
David Perdue (R-GA)|$113,600|ALB|Albemarle Corporation|Basic Industries|Major Chemicals|
Angus King (D-ME)|$113,100|EAAIX|Wells Fargo Advantage Asset Allocation Fund|||
John Hoeven (R-ND)|$113,100|KDP|Keurig Dr Pepper Inc.|||
Tim Kaine (D-VA)|$113,000|DUK|Duke Energy|||
Tammy Duckworth (D-IL)|$112,900|AGTHX|American Funds Growth Fund of America|||
Rob Portman (R-OH)|$112,900|VGELX|Vanguard Energy Fund|||
Jerry Moran (R-KS)|$112,700|XOM|Exxon Mobil|||
Susan Collins (R-ME)|$112,500|FEQTX|Fidelity Equity Dividend Income Fund|||
Amy Klobuchar (D-MN)|$112,100|FEQIX|Fidelity Equity Income Fund|||
Pat Toomey (R-PA)|$112,100|ICF|iShares Cohen & Steers REIT|||
Pat Toomey (R-PA)|$112,000|IXP|iShares Global Telecom|||
Susan Collins (R-ME)|$111,900|PEP|Pepsico Inc|||
Pat Roberts (R-KS)|$111,300|NOC|Northrop Grumman Corporation|||
David Perdue (R-GA)|$111,300|VZ|Verizon Communications|||
Ted Cruz (R-TX)|$111,100|XOM|Exxon Mobil|||
Sheldon Whitehouse (D-RI)|$111,100|ANTM|Anthem, Inc.|Health Care|Medical Specialities|
Dick Durbin (D-IL)|$110,900|ONEQ|Fidelity Nasdaq Composite Index|||
Lindsey Graham (R-SC)|$110,500|HOVLX|Homestead Value Fund|||
Sheldon Whitehouse (D-RI)|$110,400|KMB|Kimberly-Clark Corp|||
Tim Kaine (D-VA)|$110,400|KMB|Kimberly-Clark Corp|||
Kamala Harris (D-CA)|$110,100|MSUSX|SFDCP Real Estate|||
Chuck Grassley (R-IA)|$109,800|OPMYX|OPMYX - Oppenheimer Main Street Mid Cap Y|||
Joe Manchin (D-WV)|$109,700|DFMVX|DFA Tax-Managed US Marketwide Value II|||
Dianne Feinstein (D-CA)|$109,700|BAYRY|Bayer AG, Sponsored American Depository Receipt|||
Doug Jones (D-AL)|$109,600|ADRVX|American Century Diversified Bond Fund|||
Ben Cardin (D-MD)|$109,600|CPOAX|Morgan Stanley Multi Cap Growth Fund|||
Tammy Duckworth (D-IL)|$109,500|VBK|Vanguard Small Cap Fund|||
John Hoeven (R-ND)|$109,100|XOM|Exxon Mobil|||
John Hoeven (R-ND)|$109,100|IRET|Investors Real Estate Trust|||
Susan Collins (R-ME)|$108,900|HSY|The Hershey Company|||
Sheldon Whitehouse (D-RI)|$108,700|RTX|United Technologies|||
Tammy Duckworth (D-IL)|$108,500|VSS|Vanguard FTSE All-Wld ex-US SmCp ETF|||
Lamar Alexander (R-TN)|$108,000|LZSCX|Small-Mid Cap US Equity Common Trust Fund|||
Mike Lee (R-UT)|$108,000|FFFDX|Fidelity Freedom K 2020|||
Pat Toomey (R-PA)|$107,900|AMLP|Alerian MLP ETF|||
John Hoeven (R-ND)|$107,900|UNP|Union Pacific Corp|||
David Perdue (R-GA)|$107,400|COST|Costco Wholesale|||
Pat Toomey (R-PA)|$106,800|PFS|Provident Financial Services|||
Shelley Moore Capito (R-WV)|$106,700|CB|Chubb Corp|||
Tina Smith (D-MN)|$106,300|MMC|Marsh & McLennan|||
Pat Toomey (R-PA)|$106,200|VYM|Vanguard High Dividend Yield ETF|||
Rob Portman (R-OH)|$105,900|DFSTX|DFA US Small Cap Fund|||
John Boozman (R-AR)|$105,700|MDY|SPDR S&P Mid Cap 400 ETF|||
Chuck Grassley (R-IA)|$105,700|JDEZX|Prudential Jennison Equity Income Fund|||
Ben Cardin (D-MD)|$105,200|CHTRX|Invesco Charter A (NASDAQ)|||
Jeff Merkley (D-OR)|$105,000|FLPSX|Fidelity Low Priced Stock Fund|||
Sheldon Whitehouse (D-RI)|$105,000|JNJ|Johnson & Johnson|||
Ben Cardin (D-MD)|$104,700|IJR|iShares Core S&P Small Cap ETF|||
Richard Burr (R-NC)|$104,700|SGENX|First Eagle Funds - Global Fund Mutual Fund|||
Elizabeth Warren (D-MA)|$104,400|TISBX|TIAA-CREF Small Cap Bl Index-Retirement|||
Rob Portman (R-OH)|$104,300|FAIRX|FAIRX - Fairholme (NASDAQ)|||
Jeff Merkley (D-OR)|$104,300|FBGRX|Fidelity Blue Chip Growth|||
Tim Scott (R-SC)|$104,100|ALL|Allstate Corporation (The)|Finance|Property-Casualty Insurers|
James M Inhofe (R-OK)|$104,000|C|Citigroup Common Stock Fund|||
Doug Jones (D-AL)|$103,900|MEIIX|MEIIX - MFS Value I|||
Lamar Alexander (R-TN)|$103,600|ARSVX|ASTON/River Road Small Cap Value Fund|||
Thom Tillis (R-NC)|$103,000|IXN|iShares Global Tech ETF|||
Joni Ernst (R-IA)|$102,600|IRGPX|Voya Retirement Growth Portfolio|||
Lindsey Graham (R-SC)|$102,600|DODGX|Dodge & Cox Stock Fund|||
Tom Carper (D-DE)|$102,400|NKE|Nike Inc|||
Pat Toomey (R-PA)|$102,100|IJT|iShares S&P Small-Cap 600 Growth Fund|||
Kamala Harris (D-CA)|$102,000|EEM|iShares Emerging Market|||
Rob Portman (R-OH)|$101,400|GOODX|GoodHaven|||
Rob Portman (R-OH)|$101,200|VFIDX|Vanguard Interm-Term Investment-Grde Adm|||
Joe Manchin (D-WV)|$100,600|DISVX|DFA International Small Cap Value Fund|||
Mitch McConnell (R-KY)|$100,400|PRITX|T Rowe Price International Stock Fund|||
Pat Toomey (R-PA)|$100,300|AIA|iShares Asia 50|||
Shelley Moore Capito (R-WV)|$99,600|ABT|Abbott Laboratories|Health Care|Major Pharmaceuticals|
John Hoeven (R-ND)|$99,300|SGENX|First Eagle Funds - Global Fund Mutual Fund|||
Lamar Alexander (R-TN)|$99,200|FPACX|FPA Crescent|||
David Perdue (R-GA)|$98,900|WFC|Wells Fargo|||
Pat Toomey (R-PA)|$98,900|DVY|iShares Select Dividend ETF|||
Tom Carper (D-DE)|$98,800|CME|CME Group Inc.|Finance|Investment Bankers/Brokers/Service|
Chris Coons (D-DE)|$98,700|CGRWX|Oppenheimer Value Fund|||
Chuck Grassley (R-IA)|$98,600|ARDEX|ASTON/River Road Dividend All Cap Val Fund|||
Dan Sullivan (R-AK)|$98,300|PWC|PowerShares Dynamic Market ETF|||
Shelley Moore Capito (R-WV)|$98,200|LOW|Lowe's Companies|||
David Perdue (R-GA)|$97,900|MU|Micron Technology, Inc.|||
Chuck Grassley (R-IA)|$97,600|CAIBX|American Funds Capital Income Builder Fund|||
Tom Udall (D-NM)|$97,600|CAIBX|American Funds Capital Income Builder Fund|||
Richard Burr (R-NC)|$97,600|AON|Aon plc|Finance|Specialty Insurers|
Amy Klobuchar (D-MN)|$97,300|FZAHX|Fidelity Growth Opportunity Fund|||
Ben Cardin (D-MD)|$97,300|VWO|Vanguard Emerging Markets ETF|||
Thad Cochran (R-MS)|$97,200|BX|Blackstone Group|||
John Hoeven (R-ND)|$97,000|TRBCX|T Rowe Price Blue Chip Growth|||
Ed Markey (D-MA)|$97,000|FDMMX|Fidelity Mass Muni Income Mutual Fund|||
Doug Jones (D-AL)|$96,900|REEBX|American Funds Europacific Growth Fund|||
Sheldon Whitehouse (D-RI)|$96,700|DIS|The Walt Disney Co|||
Gary Peters (D-MI)|$96,600|REEBX|American Funds Europacific Growth Fund|||
Tammy Duckworth (D-IL)|$96,500|VO|Vanguard Mid-Cap ETF|||
David Perdue (R-GA)|$96,000|EXR|Extra Space Storage Inc.|||
John Boozman (R-AR)|$95,900|DIS|The Walt Disney Co|||
Jeff Merkley (D-OR)|$95,700|FDSVX|Fidelity Growth Discovery|||
Chuck Grassley (R-IA)|$95,700|FIGRX|Fidelity International Discovery Fund|||
Thom Tillis (R-NC)|$95,500|NHMAX|Nuveen High Yield Municipal Bond Fund|||
Joe Manchin (D-WV)|$95,500|DFTSX|DFA Tax-Managed US Small Cap|||
Sheldon Whitehouse (D-RI)|$95,300|CCI|Crown Castle International|||
Tim Kaine (D-VA)|$95,200|XOM|Exxon Mobil|||
Ron Wyden (D-OR)|$95,200|VWITX|Vanguard Interm-Term Tx-Ex Inv|||
Chris Van Hollen (D-MD)|$94,800|VWIAX|Vanguard Wellesley Income Inv|||
Chris Van Hollen (D-MD)|$94,500|VWINX|Wellesley Fund|||
Sheldon Whitehouse (D-RI)|$94,500|ADI|Analog Devices, Inc.|Technology|Semiconductors|
Susan Collins (R-ME)|$94,000|TOLLX|Deutsche Global Infrastructure Fund|||
Mitch McConnell (R-KY)|$94,000|CWGIX|American Cap World Growth Income Fund|||
Susan Collins (R-ME)|$93,000|DHR|Danaher Corp|||
Joe Manchin (D-WV)|$92,300|DGTSX|DFA Global Allocation|||
David Perdue (R-GA)|$92,100|DFIGX|DFA Intermediate Govt Fixed-Income|||
Richard Burr (R-NC)|$91,900|EBAY|Ebay Inc|||
David Perdue (R-GA)|$91,300|HCA|HCA Holdings|||
Tina Smith (D-MN)|$91,200|YUM|Yum! Brands|||
Pat Toomey (R-PA)|$91,200|T|AT&T Inc|||
John Boozman (R-AR)|$90,900|RTX|United Technologies|||
Gary Peters (D-MI)|$90,600|HD|Home Depot|||
John Thune (R-SD)|$90,500|FKITX|Franklin Federal Interm-Term T/F Inc Fund|||
Shelley Moore Capito (R-WV)|$90,200|CLX|Clorox Co|||
Jeanne Shaheen (D-NH)|$90,100|VAIPX|Vanguard Inflation-Protected Secs Adm Fund|||
John Hoeven (R-ND)|$90,100|JNJ|Johnson & Johnson|||
Mitch McConnell (R-KY)|$89,700|PRSCX|T Rowe Price Science & Tech|||
Pat Toomey (R-PA)|$89,700|RSP|Guggenheim S&P 500 Equal Weight|||
Pat Toomey (R-PA)|$89,600|IJJ|iShares S&P Mid Cap 400 Value Index|||
Mike Rounds (R-SD)|$89,500|VGT|Vanguard Information Technology ETF|||
Pat Toomey (R-PA)|$89,400|PFF|IShares US Preferred Stock ETF|||
Susan Collins (R-ME)|$89,400|JNJ|Johnson & Johnson|||
Richard Burr (R-NC)|$88,800|D|D- Dominion Resources, Inc. (NYSE)|||
Tammy Duckworth (D-IL)|$88,700|VTV|Vanguard Index Funds - Vanguard Value ETF|||
Susan Collins (R-ME)|$88,100|AAPL|Apple Inc.|Technology|Computer Manufacturing|
John Boozman (R-AR)|$88,100|IQV|IQVIA Holdings Inc.|||
Susan Collins (R-ME)|$88,100|COP|ConocoPhillips|||
Tim Kaine (D-VA)|$88,100|DIFAX|MFS Diversified Income Fund|||
David Perdue (R-GA)|$88,100|CSRIX|Cohen & Steers Institutional Realty|||
James M Inhofe (R-OK)|$87,900|UNH|Unitedhealth Group|||
Tammy Duckworth (D-IL)|$87,600|BIV|BIV Vanguard Bond Intermediate ETF|||
Susan Collins (R-ME)|$87,500|DVFAX|Cohen &amp; Steers Dividend Value A (NASDAQ)|||
Michael Bennet (D-CO)|$87,300|VWUSX|Vanguard US Growth Portfolio Fund|||
John Boozman (R-AR)|$87,300|UNP|Union Pacific Corp|||
Thom Tillis (R-NC)|$87,200|DEGCX|Delaware Pooled International Equity Fund|||
Tom Carper (D-DE)|$87,100|AMZN|Amazon.com, Inc.|Consumer Services|Catalog/Specialty Distribution|
Tim Kaine (D-VA)|$87,100|MDISX|Mutual Global Discovery Z Fund|||
John Hoeven (R-ND)|$87,000|SPG|Simon Property Group, Inc.|||
Jack Reed (D-RI)|$86,900|XLNX|Xiling III|||
David Perdue (R-GA)|$86,700|IP|International Paper|||
Shelley Moore Capito (R-WV)|$86,600|MDLZ|Kraft Foods|||
John Boozman (R-AR)|$86,500|DIA|Dow Jones EFT|||
Tammy Duckworth (D-IL)|$86,400|VWO|Vanguard Emerging Markets ETF|||
Chris Coons (D-DE)|$86,100|PWBAX|Virtus AlphaSector Rotation|||
Tina Smith (D-MN)|$86,000|ABALX|Balanced Fund|||
Rob Portman (R-OH)|$85,900|IVWAX|IVA Worldwide I|||
Tim Kaine (D-VA)|$85,600|TEDIX|Mutual Global Discovery Fund|||
Angus King (D-ME)|$85,300|PRSNX|T Rowe Price Strategic Income|||
David Perdue (R-GA)|$85,300|BX|Blackstone Group|||
Chris Van Hollen (D-MD)|$85,200|TRRHX|T Rowe Price 2025|||
Shelley Moore Capito (R-WV)|$85,100|ITW|Illinois Tool Works|||
Joe Manchin (D-WV)|$85,100|DTMVX|DFA Tax-Managed US Targeted Value|||
James Lankford (R-OK)|$84,900|FNIAX|Fidelity Advisor New Insights Fund|||
Tim Kaine (D-VA)|$84,800|MEDAX|MFS Emerging Markets Debt Fund|||
David Perdue (R-GA)|$84,600|AMT|American Tower Corporation (REIT)|Consumer Services|Real Estate Investment Trusts|
Jack Reed (D-RI)|$84,600|MSFT|Microsoft Corp|||
Barbara A Mikulski (D-MD)|$84,600|PRNHX|T Rowe Price New Horizons|||
Tim Kaine (D-VA)|$84,400|T|AT&T Inc|||
John Boozman (R-AR)|$84,300|TGT|Target Corp|||
Susan Collins (R-ME)|$84,300|V|Visa Inc|||
Doug Jones (D-AL)|$84,200|MET|MetLife Inc|||
Pat Roberts (R-KS)|$84,200|FB|Facebook Inc|||
Tim Kaine (D-VA)|$83,700|SLRC|Solar Capital Ltd|||
Angus King (D-ME)|$83,600|NKE|Nike Inc|||
Chris Coons (D-DE)|$83,400|ITBAX|Hartford Capital Total Return Bond Fund|||
James M Inhofe (R-OK)|$83,300|MSFT|Microsoft Corp|||
James M Inhofe (R-OK)|$83,300|CRSP|CRISPR Therapeutics AG|||
John Boozman (R-AR)|$83,100|GIGB|Goldman Sachs ETF Tr Access Invt Gr|||
Chuck Grassley (R-IA)|$82,900|OIBNX|Oppenheimer International Bond|||
Lamar Alexander (R-TN)|$82,900|ECEIX|Lazard Emerging Markets Core Equity Fund|||
Thad Cochran (R-MS)|$82,900|AJG|Arthur J. Gallagher & Co.|Finance|Specialty Insurers|
Rob Portman (R-OH)|$82,500|TSDIX|Touchstone Ultra Short Dur Fund|||
Rob Portman (R-OH)|$81,900|TDTT|Dreyfus/The Boston Co Small Cap Growth Fund|||
Susan Collins (R-ME)|$81,900|MCHP|Microchip Technology|||
James Lankford (R-OK)|$81,600|FDCAX|Fidelity Capital Appreciation|||
Sheldon Whitehouse (D-RI)|$81,500|IBM|IBM Corp|||
Tom Carper (D-DE)|$81,400|OHI|Omega Healthcare Investors|||
Jack Reed (D-RI)|$81,200|XBI|SPDR S&P Biotech ETF|||
Pat Toomey (R-PA)|$80,800|DBP|PowerShares DB Precious Metals ETF|||
Joe Manchin (D-WV)|$80,700|VWSTX|Vanguard Short Term Tax Exempt Fund|||
Shelley Moore Capito (R-WV)|$80,200|AMGN|Amgen Inc.|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|
Doug Jones (D-AL)|$79,900|FDTTX|Fidelity Advisor Capital Development|||
Rob Portman (R-OH)|$79,700|BPIRX|Rebeco Boston Partners Long Short Fund|||
Angus King (D-ME)|$79,400|RPIFX|T Rowe Price Insitututional Floating Rate|||
James M Inhofe (R-OK)|$79,300|FDX|FedEx Corp|||
Tom Carper (D-DE)|$79,200|MET|MetLife Inc|||
Shelley Moore Capito (R-WV)|$79,200|MCD|McDonald's Corp|||
Maria Cantwell (D-WA)|$79,100|HACAX|Harbor Capital Appreciation Institutional|||
John Hoeven (R-ND)|$79,000|HAS|Hasbro, Inc.|||
Tim Kaine (D-VA)|$78,600|RYSEX|Royce Special Equity Investment Fund|||
Doug Jones (D-AL)|$78,400|JLPYX|JPMorgan US Large Cap Core Plus Fund|||
Susan Collins (R-ME)|$78,400|HSIC|Henry Schein Inc|||
Mike Enzi (R-WY)|$78,100|TWCUX|TWCUX - American Century Ultra Inv (NASDAQ)|||
Thad Cochran (R-MS)|$78,000|JNJ|Johnson & Johnson|||
John Hoeven (R-ND)|$77,900|VFIJX|Vanguard GNMA Fund|||
Lindsey Graham (R-SC)|$77,900|TRBCX|T Rowe Price Blue Chip Growth|||
Mazie K Hirono (D-HI)|$77,900|TRBCX|T Rowe Price Blue Chip Growth|||
