Senator|Estimated Holdings|Symbol|Company|Sector|Industry|
John Boozman (R-AR)|$786,700|SPY|S&P 500 EFT|||
Michael Bennet (D-CO)|$772,600|RPMGX|Rowe T Price Mid Cap Growth Fund|||
Mitch McConnell (R-KY)|$772,600|RPMGX|Rowe T Price Mid Cap Growth Fund|||
Dianne Feinstein (D-CA)|$749,300|FASMX|Fidelity Asset Manager Fund|||
Michael Bennet (D-CO)|$722,400|SPY|S&P 500 EFT|||
John Hoeven (R-ND)|$716,700|NKE|Nike Inc|||
Richard Blumenthal (D-CT)|$698,300|ESRT|Empire State Realty Trust Inc|||
John Hoeven (R-ND)|$697,100|HON|Honeywell International|||
John Hoeven (R-ND)|$671,000|MDLZ|Kraft Foods|||
Mitch McConnell (R-KY)|$669,300|WFC|Wells Fargo|||
Sheldon Whitehouse (D-RI)|$655,300|GOOGL|Alphabet Inc.|Technology|Computer Software: Programming, Data Processing|
John Hoeven (R-ND)|$653,200|INTC|INTC-Intel Corp|||
Ed Markey (D-MA)|$638,200|JAGTX|Janus Global Technology Class T Mutual Fund|||
Dianne Feinstein (D-CA)|$637,600|BAM|Broofield Asset Management|||
Mark Warner (D-VA)|$613,700|VVPLX|Vulcan Value Partners Fund|||
John Barrasso (R-WY)|$612,400|VNQ|Vanguard REIT ETF|||
Rob Portman (R-OH)|$610,100|SEBLX|Touchstone Moderate Growth Allc Fund|||
Ted Cruz (R-TX)|$605,900|BFK|BlackRock Municipal Income Trust|||
Rob Portman (R-OH)|$577,300|IJH|iShares Core S&P Mid Cap ETF|||
John Hoeven (R-ND)|$576,100|BAF|BlackRock Inc|||
John Hoeven (R-ND)|$572,800|PG|Procter & Gamble|||
Catherine Cortez Masto (D-NV)|$553,600|PRGFX|T Rowe Price Growth Stock Fund|||
John Hoeven (R-ND)|$552,900|PRNHX|T Rowe Price New Horizons|||
David Perdue (R-GA)|$544,100|MUNI|CHEROKEE CNTY GA SCH SYS GO 5% 02/01/27 FA (MUNI)|||
John Hoeven (R-ND)|$543,700|CMI|Cummins Inc|||
Sheldon Whitehouse (D-RI)|$532,000|JPM|JPMorgan Chase & Co|||
Tom Carper (D-DE)|$531,500|DD|DowDuPont Inc|||
