Senator,Estimated Holdings,Symbol,Company,Sector,Industry,P,S
Susan Collins (R-ME),89400,JNJ,Johnson & Johnson,Technology,Computer Manufacturing,R,ME
Richard Burr (R-NC),88800,D,"D- Dominion Resources, Inc. (NYSE)",Technology,Computer Manufacturing,R,NC
Tammy Duckworth (D-IL),88700,VTV,Vanguard Index Funds - Vanguard Value ETF,Technology,Computer Manufacturing,D,IL
Susan Collins (R-ME),88100,AAPL,Apple Inc.,Technology,Computer Manufacturing,R,ME
John Boozman (R-AR),88100,IQV,IQVIA Holdings Inc.,Consumer Services,Catalog/Specialty Distribution,R,AR
Susan Collins (R-ME),88100,COP,ConocoPhillips,Consumer Services,Catalog/Specialty Distribution,R,ME
Tim Kaine (D-VA),88100,DIFAX,MFS Diversified Income Fund,Consumer Services,Catalog/Specialty Distribution,D,VA
David Perdue (R-GA),88100,CSRIX,Cohen & Steers Institutional Realty,Consumer Services,Catalog/Specialty Distribution,R,GA
James M Inhofe (R-OK),87900,UNH,Unitedhealth Group,Consumer Services,Catalog/Specialty Distribution,R,OK
Tammy Duckworth (D-IL),87600,BIV,BIV Vanguard Bond Intermediate ETF,Consumer Services,Catalog/Specialty Distribution,D,IL
Susan Collins (R-ME),87500,DVFAX,Cohen &amp; Steers Dividend Value A (NASDAQ),Consumer Services,Catalog/Specialty Distribution,R,ME
Michael Bennet (D-CO),87300,VWUSX,Vanguard US Growth Portfolio Fund,Consumer Services,Catalog/Specialty Distribution,D,CO
John Boozman (R-AR),87300,UNP,Union Pacific Corp,Consumer Services,Catalog/Specialty Distribution,R,AR
Thom Tillis (R-NC),87200,DEGCX,Delaware Pooled International Equity Fund,Consumer Services,Catalog/Specialty Distribution,R,NC
Tom Carper (D-DE),87100,AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution,D,DE
Tim Kaine (D-VA),87100,MDISX,Mutual Global Discovery Z Fund,Consumer Services,Real Estate Investment Trusts,D,VA
John Hoeven (R-ND),87000,SPG,"Simon Property Group, Inc.",Consumer Services,Real Estate Investment Trusts,R,ND
Jack Reed (D-RI),86900,XLNX,Xiling III,Consumer Services,Real Estate Investment Trusts,D,RI
David Perdue (R-GA),86700,IP,International Paper,Consumer Services,Real Estate Investment Trusts,R,GA
Shelley Moore Capito (R-WV),86600,MDLZ,Kraft Foods,Consumer Services,Real Estate Investment Trusts,R,WV
John Boozman (R-AR),86500,DIA,Dow Jones EFT,Consumer Services,Real Estate Investment Trusts,R,AR
Tammy Duckworth (D-IL),86400,VWO,Vanguard Emerging Markets ETF,Consumer Services,Real Estate Investment Trusts,D,IL
Chris Coons (D-DE),86100,PWBAX,Virtus AlphaSector Rotation,Consumer Services,Real Estate Investment Trusts,D,DE
Tina Smith (D-MN),86000,ABALX,Balanced Fund,Consumer Services,Real Estate Investment Trusts,D,MN
Rob Portman (R-OH),85900,IVWAX,IVA Worldwide I,Consumer Services,Real Estate Investment Trusts,R,OH
Tim Kaine (D-VA),85600,TEDIX,Mutual Global Discovery Fund,Consumer Services,Real Estate Investment Trusts,D,VA
Angus King (D-ME),85300,PRSNX,T Rowe Price Strategic Income,Consumer Services,Real Estate Investment Trusts,D,ME
David Perdue (R-GA),85300,BX,Blackstone Group,Consumer Services,Real Estate Investment Trusts,R,GA
Chris Van Hollen (D-MD),85200,TRRHX,T Rowe Price 2025,Consumer Services,Real Estate Investment Trusts,D,MD
Shelley Moore Capito (R-WV),85100,ITW,Illinois Tool Works,Consumer Services,Real Estate Investment Trusts,R,WV
Joe Manchin (D-WV),85100,DTMVX,DFA Tax-Managed US Targeted Value,Consumer Services,Real Estate Investment Trusts,D,WV
James Lankford (R-OK),84900,FNIAX,Fidelity Advisor New Insights Fund,Consumer Services,Real Estate Investment Trusts,R,OK
Tim Kaine (D-VA),84800,MEDAX,MFS Emerging Markets Debt Fund,Consumer Services,Real Estate Investment Trusts,D,VA
David Perdue (R-GA),84600,AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts,R,GA
Jack Reed (D-RI),84600,MSFT,Microsoft Corp,Finance,Specialty Insurers,D,RI
Barbara A Mikulski (D-MD),84600,PRNHX,T Rowe Price New Horizons,Finance,Specialty Insurers,D,MD
Tim Kaine (D-VA),84400,T,AT&T Inc,Finance,Specialty Insurers,D,VA
John Boozman (R-AR),84300,TGT,Target Corp,Finance,Specialty Insurers,R,AR
Susan Collins (R-ME),84300,V,Visa Inc,Finance,Specialty Insurers,R,ME
Doug Jones (D-AL),84200,MET,MetLife Inc,Finance,Specialty Insurers,D,AL
Pat Roberts (R-KS),84200,FB,Facebook Inc,Finance,Specialty Insurers,R,KS
Tim Kaine (D-VA),83700,SLRC,Solar Capital Ltd,Finance,Specialty Insurers,D,VA
Angus King (D-ME),83600,NKE,Nike Inc,Finance,Specialty Insurers,D,ME
Chris Coons (D-DE),83400,ITBAX,Hartford Capital Total Return Bond Fund,Finance,Specialty Insurers,D,DE
James M Inhofe (R-OK),83300,MSFT,Microsoft Corp,Finance,Specialty Insurers,R,OK
James M Inhofe (R-OK),83300,CRSP,CRISPR Therapeutics AG,Finance,Specialty Insurers,R,OK
John Boozman (R-AR),83100,GIGB,Goldman Sachs ETF Tr Access Invt Gr,Finance,Specialty Insurers,R,AR
Chuck Grassley (R-IA),82900,OIBNX,Oppenheimer International Bond,Finance,Specialty Insurers,R,IA
Lamar Alexander (R-TN),82900,ECEIX,Lazard Emerging Markets Core Equity Fund,Finance,Specialty Insurers,R,TN
Thad Cochran (R-MS),82900,AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers,R,MS
Rob Portman (R-OH),82500,TSDIX,Touchstone Ultra Short Dur Fund,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),R,OH
Rob Portman (R-OH),81900,TDTT,Dreyfus/The Boston Co Small Cap Growth Fund,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),R,OH
Susan Collins (R-ME),81900,MCHP,Microchip Technology,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),R,ME
James Lankford (R-OK),81600,FDCAX,Fidelity Capital Appreciation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),R,OK
Sheldon Whitehouse (D-RI),81500,IBM,IBM Corp,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),D,RI
Tom Carper (D-DE),81400,OHI,Omega Healthcare Investors,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),D,DE
Jack Reed (D-RI),81200,XBI,SPDR S&P Biotech ETF,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),D,RI
Pat Toomey (R-PA),80800,DBP,PowerShares DB Precious Metals ETF,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),R,PA
Joe Manchin (D-WV),80700,VWSTX,Vanguard Short Term Tax Exempt Fund,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),D,WV
Shelley Moore Capito (R-WV),80200,AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),R,WV
Doug Jones (D-AL),79900,FDTTX,Fidelity Advisor Capital Development,Health Care,Major Pharmaceuticals,D,AL
Rob Portman (R-OH),79700,BPIRX,Rebeco Boston Partners Long Short Fund,Health Care,Major Pharmaceuticals,R,OH
Angus King (D-ME),79400,RPIFX,T Rowe Price Insitututional Floating Rate,Health Care,Major Pharmaceuticals,D,ME
James M Inhofe (R-OK),79300,FDX,FedEx Corp,Health Care,Major Pharmaceuticals,R,OK
Tom Carper (D-DE),79200,MET,MetLife Inc,Health Care,Major Pharmaceuticals,D,DE
Shelley Moore Capito (R-WV),79200,MCD,McDonald's Corp,Health Care,Major Pharmaceuticals,R,WV
Maria Cantwell (D-WA),79100,HACAX,Harbor Capital Appreciation Institutional,Health Care,Major Pharmaceuticals,D,WA
John Hoeven (R-ND),79000,HAS,"Hasbro, Inc.",Health Care,Major Pharmaceuticals,R,ND
Tim Kaine (D-VA),78600,RYSEX,Royce Special Equity Investment Fund,Health Care,Major Pharmaceuticals,D,VA
Doug Jones (D-AL),78400,JLPYX,JPMorgan US Large Cap Core Plus Fund,Health Care,Major Pharmaceuticals,D,AL
Susan Collins (R-ME),78400,HSIC,Henry Schein Inc,Health Care,Major Pharmaceuticals,R,ME
Mike Enzi (R-WY),78100,TWCUX,TWCUX - American Century Ultra Inv (NASDAQ),Health Care,Major Pharmaceuticals,R,WY
Thad Cochran (R-MS),78000,JNJ,Johnson & Johnson,Health Care,Major Pharmaceuticals,R,MS
John Hoeven (R-ND),77900,VFIJX,Vanguard GNMA Fund,Health Care,Major Pharmaceuticals,R,ND
Lindsey Graham (R-SC),77900,TRBCX,T Rowe Price Blue Chip Growth,Health Care,Major Pharmaceuticals,R,SC
Mazie K Hirono (D-HI),77900,TRBCX,T Rowe Price Blue Chip Growth,Health Care,Major Pharmaceuticals,D,HI
Dan Sullivan (R-AK),77800,WCMIX,WCM Focused International Growth Fund Institutiona,Health Care,Major Pharmaceuticals,R,AK
Mark Warner (D-VA),77600,APHKX,Artisan International Value Fund,Health Care,Major Pharmaceuticals,D,VA
Thom Tillis (R-NC),77500,LCMAX,Driehaus Active Income Fund,Health Care,Major Pharmaceuticals,R,NC
Tim Kaine (D-VA),77400,BPRIX,Blackrock Inflation Protected Bond Portfolio,Health Care,Major Pharmaceuticals,D,VA
Thad Cochran (R-MS),77400,MPW,Medical Properties Trust,Health Care,Major Pharmaceuticals,R,MS
Richard Blumenthal (D-CT),77300,FRFHF,Fairfax Merrifield Assoc,Health Care,Major Pharmaceuticals,D,CT
Sheldon Whitehouse (D-RI),77300,JARTX,Janus Forty I (NASDAQ),Health Care,Major Pharmaceuticals,D,RI
Shelley Moore Capito (R-WV),77200,WEC,Integrys Energy Group,Health Care,Major Pharmaceuticals,R,WV
Thom Tillis (R-NC),77000,IBM,IBM Corp,Health Care,Major Pharmaceuticals,R,NC
Pat Toomey (R-PA),77000,ILF,iShares Latin America 40 ETF,Health Care,Major Pharmaceuticals,R,PA
Thom Tillis (R-NC),76900,DODFX,Dodge & Cox International Fund,Health Care,Major Pharmaceuticals,R,NC
John Boozman (R-AR),76700,TIP,iShares Tips Bond ETF,Health Care,Major Pharmaceuticals,R,AR
Tim Kaine (D-VA),76700,ODMAX,Oppenheimer Developing Markets Fund,Health Care,Major Pharmaceuticals,D,VA
Ben Sasse (R-NE),76400,GVI,iShares Interm Government/Credit Bond,Health Care,Major Pharmaceuticals,R,NE
Tom Carper (D-DE),76400,ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,D,DE
Shelley Moore Capito (R-WV),76000,MDT,Medtronic Inc,Public Utilities,Electric Utilities: Central,R,WV
Angus King (D-ME),75700,MAR,Marriott International,Public Utilities,Electric Utilities: Central,D,ME
Tim Kaine (D-VA),75400,GE,GE Capital,Public Utilities,Electric Utilities: Central,D,VA
Tina Smith (D-MN),75400,TCMD,Tactile Systems Technology,Public Utilities,Electric Utilities: Central,D,MN
Gary Peters (D-MI),75300,ECL,Ecolab Inc,Public Utilities,Electric Utilities: Central,D,MI
Amy Klobuchar (D-MN),75100,FAEGX,Fidelity Equity Growth Fund,Public Utilities,Electric Utilities: Central,D,MN
Richard Burr (R-NC),75000,ENB,Enbridge Inc.,Public Utilities,Electric Utilities: Central,R,NC
Sheldon Whitehouse (D-RI),75000,UNP,Union Pacific Corp,Public Utilities,Electric Utilities: Central,D,RI
Ted Cruz (R-TX),75000,GSFRX,Goldman Sachs High Yield Fl Rate Institutional,Public Utilities,Electric Utilities: Central,R,TX
Jon Tester (D-MT),74800,AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central,D,MT
Angus King (D-ME),74800,ECL,Ecolab Inc,Technology,Computer Communications Equipment,D,ME
Chuck Grassley (R-IA),74700,BIAGX,Brown Advisory Growth Equity Fund,Technology,Computer Communications Equipment,R,IA
David Perdue (R-GA),74600,ORCL,Oracle Corp,Technology,Computer Communications Equipment,R,GA
John Hoeven (R-ND),74400,CE,Celanese Corporation,Technology,Computer Communications Equipment,R,ND
Susan Collins (R-ME),74300,QCOM,Qualcomm Inc,Technology,Computer Communications Equipment,R,ME
Richard Burr (R-NC),74000,KMB,Kimberly-Clark Corp,Technology,Computer Communications Equipment,R,NC
Gary Peters (D-MI),73700,CLX,Clorox Co,Technology,Computer Communications Equipment,D,MI
Kamala Harris (D-CA),73400,VCSH,Vanguard Short-term Corporate Bond,Technology,Computer Communications Equipment,D,CA
Ted Cruz (R-TX),73200,GSTIX,Goldman Sachs Strategic Growth Institutional,Technology,Computer Communications Equipment,R,TX
Patty Murray (D-WA),73200,PTLDX,PIMCO Low Duration Institutional,Technology,Computer Communications Equipment,D,WA
David Perdue (R-GA),72900,DVN,Devon Energy,Technology,Computer Communications Equipment,R,GA
Sheldon Whitehouse (D-RI),72900,MLAAX,Mainstay Funds Large Cap Growth Fund,Technology,Computer Communications Equipment,D,RI
Thom Tillis (R-NC),72700,PTLDX,PIMCO Low Duration Institutional,Technology,Computer Communications Equipment,R,NC
Kamala Harris (D-CA),72500,VGT,Vanguard Information Technology ETF,Technology,Computer Communications Equipment,D,CA
Angus King (D-ME),72300,CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,D,ME
Richard Burr (R-NC),72200,ORKLY,Orkla As Spons ADR,Technology,Computer Communications Equipment,R,NC
Rob Portman (R-OH),72100,DFCEX,DFA Emerging Markets Core Equity Fund,Technology,Computer Communications Equipment,R,OH
John Boozman (R-AR),71700,PYPL,PayPal Holdings,Technology,Computer Communications Equipment,R,AR
Gary Peters (D-MI),71500,T,AT&T Inc,Technology,Computer Communications Equipment,D,MI
Shelley Moore Capito (R-WV),71400,KO,Coca-Cola Co,Technology,Computer Communications Equipment,R,WV
Thad Cochran (R-MS),71400,PG,Procter & Gamble,Technology,Computer Communications Equipment,R,MS
Susan Collins (R-ME),70500,DIS,The Walt Disney Co,Technology,Computer Communications Equipment,R,ME
Gary Peters (D-MI),70500,EGP,Eastgroup Properties,Technology,Computer Communications Equipment,D,MI
John Hoeven (R-ND),70500,FLMVX,JPMorgan MidCap Core Fund Mutual Fund,Technology,Computer Communications Equipment,R,ND
Angus King (D-ME),70400,FCNKX,Fidelity Contrafund,Technology,Computer Communications Equipment,D,ME
Mike Enzi (R-WY),70400,FCNKX,Fidelity Contrafund,Technology,Computer Communications Equipment,R,WY
Maria Cantwell (D-WA),70400,RNWK,RealNetworks Inc,Technology,Computer Communications Equipment,D,WA
Shelley Moore Capito (R-WV),70300,PAYX,Paychex Inc,Technology,Computer Communications Equipment,R,WV
Chuck Grassley (R-IA),70300,LZEMX,Lazard Emerging Markets Equity Fund,Technology,Computer Communications Equipment,R,IA
Joe Manchin (D-WV),70000,DFREX,DFA Real Estate Securities Fund,Technology,Computer Communications Equipment,D,WV
Joe Manchin (D-WV),69600,HBAN,Huntington Bancshares,Technology,Computer Communications Equipment,D,WV
Dick Durbin (D-IL),69500,RSP,Guggenheim S&P 500 Equal Weight,Technology,Computer Communications Equipment,D,IL
John Boozman (R-AR),68700,FBHS,Fortune Brands Home & Sec In,Technology,Computer Communications Equipment,R,AR
David Perdue (R-GA),68400,PRGFX,T Rowe Price Growth Stock Fund,Technology,Computer Communications Equipment,R,GA
Tom Carper (D-DE),68400,JNJ,Johnson & Johnson,Technology,Computer Communications Equipment,D,DE
Ron Wyden (D-OR),68100,PCBIX,PCBIX - Principal MidCap Institutional (NASDAQ)Fil,Technology,Computer Communications Equipment,D,OR
Angus King (D-ME),68000,VIMSX,US Mid-Cap Equity Index FunD,Technology,Computer Communications Equipment,D,ME
Doug Jones (D-AL),68000,MCI,Mass Mutual,Technology,Computer Communications Equipment,D,AL
Richard Burr (R-NC),67300,TRV,Travelers Companies,Technology,Computer Communications Equipment,R,NC
Thad Cochran (R-MS),67100,MDLZ,Kraft Foods,Technology,Computer Communications Equipment,R,MS
Ben Cardin (D-MD),67100,IJK,iShares S&P Mid Cap 400 Growth ETF,Technology,Computer Communications Equipment,D,MD
Jack Reed (D-RI),67000,XSD,SPDR S&amp;P Semiconductor ETF,Technology,Computer Communications Equipment,D,RI
Kamala Harris (D-CA),66900,SKYY,First Trust Cloud Computing ETF,Technology,Computer Communications Equipment,D,CA
Sherrod Brown (D-OH),66900,FMAGX,Fidelity Magellan Fund,Technology,Computer Communications Equipment,D,OH
Chuck Grassley (R-IA),66500,PGSGX,JP Morgan Dynamic Small Cap Gr Sel,Technology,Computer Communications Equipment,R,IA
Gary Peters (D-MI),66500,CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,D,MI
John Boozman (R-AR),66500,INTC,INTC-Intel Corp,Technology,Semiconductors,R,AR
Tammy Duckworth (D-IL),66500,EFG,iShares MSCI EAFE Growth ETF,Technology,Semiconductors,D,IL
Rand Paul (R-KY),66400,VBIAX,Vanguard Balanced Index,Technology,Semiconductors,R,KY
David Perdue (R-GA),66300,CVX,Chevron Corp,Technology,Semiconductors,R,GA
John Boozman (R-AR),66200,JNJ,Johnson & Johnson,Technology,Semiconductors,R,AR
John Hoeven (R-ND),66200,EXC,Exelon Corporation,Technology,Semiconductors,R,ND
Sheldon Whitehouse (D-RI),66200,VGHCX,Vanguard Health Care Inv Fund,Technology,Semiconductors,D,RI
Gary Peters (D-MI),66100,INTC,INTC-Intel Corp,Technology,Semiconductors,D,MI
Ben Cardin (D-MD),66100,VNQ,Vanguard REIT ETF,Technology,Semiconductors,D,MD
Shelley Moore Capito (R-WV),65900,ADI,"Analog Devices, Inc.",Technology,Semiconductors,R,WV
Joni Ernst (R-IA),65700,VAFNX,Invesco American Franchise Fund,Technology,Computer Communications Equipment,R,IA
Kamala Harris (D-CA),65700,FDN,First Trust Dow Jones Internet ETF,Technology,Computer Communications Equipment,D,CA
Mitch McConnell (R-KY),65500,MNNAX,Victory Munder Growth Opportunities,Technology,Computer Communications Equipment,R,KY
Rob Portman (R-OH),65400,VOX,Vanguard Telecommunication Services ETF,Technology,Computer Communications Equipment,R,OH
Dianne Feinstein (D-CA),65200,CB,Chubb Corp,Technology,Computer Communications Equipment,D,CA
Shelley Moore Capito (R-WV),64900,ES,Eversource Energy,Technology,Computer Communications Equipment,R,WV
Shelley Moore Capito (R-WV),64800,CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,R,WV
John Boozman (R-AR),64600,EMC,EMC Corp. Mass EMC,Technology,"Computer Software: Programming, Data Processing",R,AR
John Hoeven (R-ND),64600,GOOG,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing",R,ND
John Hoeven (R-ND),64400,CVX,Chevron Corp,Technology,Computer Communications Equipment,R,ND
Chuck Grassley (R-IA),64200,TEFRX,Templeton Foreign Fund,Technology,Computer Communications Equipment,R,IA
Shelley Moore Capito (R-WV),64200,PEP,Pepsico Inc,Technology,Computer Communications Equipment,R,WV
Angus King (D-ME),64100,TJX,TJX Companies,Technology,Computer Communications Equipment,D,ME
Mazie K Hirono (D-HI),64100,OPGIX,Oppenheimer Global A (NASDAQ),Technology,Computer Communications Equipment,D,HI
Gary Peters (D-MI),64000,TFC,BB&T Corp,Technology,Computer Communications Equipment,D,MI
Sheldon Whitehouse (D-RI),63800,QQQ,Power Shares QQQ Trust,Technology,Computer Communications Equipment,D,RI
Rob Portman (R-OH),63400,DCMSX,DFA Commodity Strategy Fund,Technology,Computer Communications Equipment,R,OH
Gary Peters (D-MI),63400,MDLZ,Kraft Foods,Technology,Computer Communications Equipment,D,MI
Pat Roberts (R-KS),63300,MSFT,Microsoft Corp,Technology,Computer Communications Equipment,R,KS
Sheldon Whitehouse (D-RI),63200,COV,Covidien PLC,Technology,Computer Communications Equipment,D,RI
Sheldon Whitehouse (D-RI),63200,BMY,Bristol-Myers Squibb,Technology,Computer Communications Equipment,D,RI
Michael Bennet (D-CO),63000,VIIIX,Vanguard Institutional Index,Technology,Computer Communications Equipment,D,CO
Rand Paul (R-KY),62800,VFIAX,Vanguard 500 Index Admiral Fund,Technology,Computer Communications Equipment,R,KY
Angus King (D-ME),62600,JNJ,Johnson & Johnson,Technology,Computer Communications Equipment,D,ME
Angus King (D-ME),62500,PEP,Pepsico Inc,Technology,Computer Communications Equipment,D,ME
John Boozman (R-AR),62500,EBAY,Ebay Inc,Technology,Computer Communications Equipment,R,AR
Kamala Harris (D-CA),62400,TPLGX,T Rowe Price Instl Large Cap Core Gr,Technology,Computer Communications Equipment,D,CA
Mike Enzi (R-WY),62400,VFINX,VFINX - Vanguard 500 Index Inv (NASDAQ),Technology,Computer Communications Equipment,R,WY
Thad Cochran (R-MS),62300,KR,Kroger Co,Technology,Computer Communications Equipment,R,MS
Ted Cruz (R-TX),62000,GGOIX,Goldman Sachs Growth Opportunities Institutional,Technology,Computer Communications Equipment,R,TX
Barbara A Mikulski (D-MD),62000,PRWCX,T Rowe Price Capital Appreciation,Technology,Computer Communications Equipment,D,MD
Pat Toomey (R-PA),61900,GLD,SPDR Gold Shares ETF,Technology,Computer Communications Equipment,R,PA
Bob Casey (D-PA),61800,FBGRX,Fidelity Blue Chip Growth,Technology,Computer Communications Equipment,D,PA
Tom Carper (D-DE),61600,FNIAX,Fidelity Advisor New Insights Fund,Technology,Computer Communications Equipment,D,DE
Lindsey Graham (R-SC),61500,VMRGX,Vanguard Morgan Growth Inv,Technology,Computer Communications Equipment,R,SC
Bernie Sanders (D-VT),61500,VCSRX,Valic Socially Resp Fund,Technology,Computer Communications Equipment,D,VT
Pat Roberts (R-KS),61400,JPM,JPMorgan Chase & Co,Technology,Computer Communications Equipment,R,KS
Pat Toomey (R-PA),61200,PPL,PPL,Technology,Computer Communications Equipment,R,PA
James Lankford (R-OK),61100,ICSFX,Invesco Comstock Fund,Technology,Computer Communications Equipment,R,OK
David Perdue (R-GA),60900,KMI,Kinder Morgan,Technology,Computer Communications Equipment,R,GA
John Hoeven (R-ND),60900,VDIGX,Vanguard Dividend Growth Fund,Technology,Computer Communications Equipment,R,ND
Sheldon Whitehouse (D-RI),60800,CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,D,RI
Shelley Moore Capito (R-WV),60800,WMT,Wal-Mart Stores,Technology,EDP Services,R,WV
Roger Wicker (R-MS),60700,ALTFX,AllianceBern Global Thematic Gr,Technology,EDP Services,R,MS
Sheldon Whitehouse (D-RI),60200,C,Citigroup Common Stock Fund,Technology,EDP Services,D,RI
Tom Udall (D-NM),59900,RPAI,Retail Properties of America,Technology,EDP Services,D,NM
David Perdue (R-GA),59900,PAGP,Plains GP Holdings,Technology,EDP Services,R,GA
Sheldon Whitehouse (D-RI),59800,TJX,TJX Companies,Technology,EDP Services,D,RI
Tammy Duckworth (D-IL),59800,SDY,SDY-SPDR S&P Dividend ETF,Technology,EDP Services,D,IL
Bernie Sanders (D-VT),59700,VCSMX,Valic Small Cap Fund,Technology,EDP Services,D,VT
Susan Collins (R-ME),59700,TSCO,Tractor Supply Company,Technology,EDP Services,R,ME
Ben Cardin (D-MD),59600,TLT,iShares 20+ Year Treasury Bond,Technology,EDP Services,D,MD
David Perdue (R-GA),59600,NFLX,Netflix Inc,Technology,EDP Services,R,GA
John Boozman (R-AR),59500,SHY,iShares 1-3 Year Treasury Bond ETF,Technology,EDP Services,R,AR
Chris Coons (D-DE),59300,OSCYX,Oppenheimer Main Street Small Cap Fund,Technology,EDP Services,D,DE
Lindsey Graham (R-SC),59300,VDADX,Vanguard Dividend Apprec Index,Technology,EDP Services,R,SC
David Perdue (R-GA),59300,KN,Knowles Corp,Technology,EDP Services,R,GA
Roger Wicker (R-MS),59200,WMT,Wal-Mart Stores,Technology,EDP Services,R,MS
Dianne Feinstein (D-CA),59200,HASI,Hannon Armstrong Sustainable Infrastructure,Technology,EDP Services,D,CA
Mitch McConnell (R-KY),59000,TMCPX,Touchstone Mid Cap Y,Technology,EDP Services,R,KY
Thad Cochran (R-MS),59000,QCOM,Qualcomm Inc,Technology,EDP Services,R,MS
Shelley Moore Capito (R-WV),58900,ADP,"Automatic Data Processing, Inc.",Technology,EDP Services,R,WV
David Perdue (R-GA),58800,PYPL,PayPal Holdings,Technology,Computer Communications Equipment,R,GA
Tim Kaine (D-VA),58800,IBM,IBM Corp,Technology,Computer Communications Equipment,D,VA
Jerry Moran (R-KS),58800,MITTX,MFS Massachusetts Investors Trust,Technology,Computer Communications Equipment,R,KS
Rob Portman (R-OH),58700,IXP,iShares Global Telecom,Technology,Computer Communications Equipment,R,OH
Thad Cochran (R-MS),58700,NSRGY,Nestle,Technology,Computer Communications Equipment,R,MS
Tom Carper (D-DE),58500,CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,D,DE
Gary Peters (D-MI),58400,CSQ,Calamos Strategic Total Return Fund,Miscellaneous,Business Services,D,MI
David Perdue (R-GA),58200,VLO,Valero Energy,Miscellaneous,Business Services,R,GA
Thad Cochran (R-MS),58200,OHI,Omega Healthcare Investors,Miscellaneous,Business Services,R,MS
Gary Peters (D-MI),57900,GIS,General Mills,Miscellaneous,Business Services,D,MI
Jerry Moran (R-KS),57700,AMECX,Income Fund of America,Miscellaneous,Business Services,R,KS
Sheldon Whitehouse (D-RI),57700,ANCFX,American Funds Fundamental Investors Fd,Miscellaneous,Business Services,D,RI
Sheldon Whitehouse (D-RI),57600,BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services,D,RI
Joe Manchin (D-WV),57600,DFLVX,Charles Schwab Accounts - DFA US Large Cap Value,Miscellaneous,Business Services,D,WV
Mark Warner (D-VA),57600,MIPTX,Matthews Pacific Tiger Fund,Miscellaneous,Business Services,D,VA
Susan Collins (R-ME),57500,RHHBY,Roche Holding AG,Miscellaneous,Business Services,R,ME
Tom Carper (D-DE),57400,HON,Honeywell International,Miscellaneous,Business Services,D,DE
Chris Coons (D-DE),57100,OSMNX,Oppenheimer International Small Co N,Miscellaneous,Business Services,D,DE
David Perdue (R-GA),56900,PRU,Prudential Financial,Miscellaneous,Business Services,R,GA
Susan Collins (R-ME),56900,DNKN,"Dunkin' Brands Group, Inc.",Miscellaneous,Business Services,R,ME
Mark Warner (D-VA),56800,AAPIX,Aberdeen Asia Pacific Ex Japan,Miscellaneous,Business Services,D,VA
John Hoeven (R-ND),56600,VSGAX,Vanguard Small Cap Growth Index,Miscellaneous,Business Services,R,ND
Tom Carper (D-DE),56500,DUK,Duke Energy,Miscellaneous,Business Services,D,DE
Chuck Grassley (R-IA),56500,PEEAX,Prudential Jennison Mid Cap Growth Fund,Miscellaneous,Business Services,R,IA
Rob Portman (R-OH),56400,NVG,Nuveen Dividend Advantage Munic Fund,Miscellaneous,Business Services,R,OH
Shelley Moore Capito (R-WV),56200,ACN,Accenture plc,Miscellaneous,Business Services,R,WV
Tom Udall (D-NM),56200,MSIGX,Oppenheimer Main Street Fund,Miscellaneous,Business Services,D,NM
John Hoeven (R-ND),56100,VBK,Vanguard Small Cap Fund,Miscellaneous,Business Services,R,ND
Gary Peters (D-MI),55900,VOO,Vanguard 500 Index,Miscellaneous,Business Services,D,MI
David Perdue (R-GA),55800,DFUSX,DFA US Large Co Fund,Miscellaneous,Business Services,R,GA
Susan Collins (R-ME),55800,UNH,Unitedhealth Group,Miscellaneous,Business Services,R,ME
Ben Cardin (D-MD),55700,IJJ,iShares S&P Mid Cap 400 Value Index,Miscellaneous,Business Services,D,MD
Richard Burr (R-NC),55700,MDLZ,Kraft Foods,Miscellaneous,Business Services,R,NC
Gary Peters (D-MI),55700,SPY,S&P 500 EFT,Miscellaneous,Business Services,D,MI
Jack Reed (D-RI),55600,DHR,Danaher Corp,Miscellaneous,Business Services,D,RI
Shelley Moore Capito (R-WV),55600,NSC,Norfolk Southern,Miscellaneous,Business Services,R,WV
Gary Peters (D-MI),55400,SVSPX,SSGA S&P 500 Index,Miscellaneous,Business Services,D,MI
